"","Metrekare cinsinden evin boyutu","Oda Sayisi"," Bina Yasi","Dairenin Bulundugu Kat","Kat Sayisi","   Isitma","Banyo Sayisi","   Balkon","Daire icinde esya var/yok","Sahibinden/Emlak"," Cephe","Asansor","  Ulasim","Manzara","  Muhit","    Fiyat","Site Icerisinde","    İlce"
"81.","110","4","11","2","3","Dogalgaz","1","Var","Var","Sahibinden","Guney","Yok","Var","Sehir","Uygun","1500","Hayir","Bozuyuk"
"82.","55","2","3","3","5","Dogalgaz","1","Var","Yok","Sahibinden","Kuzey","Yok","Var","Sehir","Uygun","700","Hayir","Merkez"
"83.","130","4","8","5","5","Dogalgaz","1","Var","Yok","Sahibinden","Kuzey","Var","Var","Sehir","Uygun","700","Evet","Merkez"
"84.","115","4","12","2","3","Dogalgaz","1","Var","Yok","Emlak","Dogu","Yok","Var","Sehir","Uygun","500","Hayir","Merkez"
"85.","120","4","14","3","5","Dogalgaz","1","Var","Yok","Emlak","Bati","Var","Var","Sehir","Uygun","850","Hayir","Bozuyuk"
"86.","160","5","11","2","2","Dogalgaz","2","Var","Yok","Emlak","Dogu","Yok","Var","Sehir","Uygun","950","Hayir","Merkez"
"87.","110","4","3","2","6","Dogalgaz","1","Yok","Yok","Emlak","Guney","Yok","Var","Sehir","Uygun","550","Hayir","Merkez"
"88.","145","4","22","2","4","Dogalgaz","1","Var","Yok","Emlak","Dogu","Yok","Var","Sehir","Uygun","650","Hayir","Merkez"
"89.","50","2","0","4","5","Dogalgaz","1","Yok","Var","Emlak","Guney","Var","Var","Sehir","Uygun","800","Hayir","Bozuyuk"
"90.","85","3","11","3","3","Dogalgaz","1","Var","Yok","Emlak","Dogu","Yok","Var","Sehir","Uygun","950","Hayir","Merkez"
"91.","100","3","0","1","5","Dogalgaz","1","Var","Yok","Emlak","Bati","Yok","Var","Sehir","Uygun","700","Hayir","Merkez"
"92.","130","4","7","3","5","Dogalgaz","1","Var","Yok","Emlak","Guney","Yok","Var","Sehir","Uygun","1100","Hayir","Merkez"
"93.","100","3","5","7","7","Dogalgaz","1","Var","Yok","Sahibinden","Guney","Var","Var","Sehir","Uygun","600","Hayir","Bozuyuk"
"94.","73","2","8","3","7","Dogalgaz","1","Var","Yok","Emlak","Dogu","Var","Var","Sehir","Uygun","600","Evet","Merkez"
"95.","80","3","3","5","7","Dogalgaz","1","Var","Yok","Emlak","Bati","Var","Var","Sehir","Uygun","650","Hayir","Merkez"
"96.","100","3","3","1","5","Dogalgaz","1","Var","Yok","Emlak","Kuzey","Yok","Var","Sehir","Uygun","750","Hayir","Merkez"
"97.","100","3","8","2","5","Dogalgaz","1","Yok","Yok","Emlak","Dogu","Var","Var","Sehir","Uygun","650","Hayir","Merkez"
"98.","50","2","3","5","7","Dogalgaz","1","Var","Yok","Emlak","Bati","Yok","Var","Sehir","Uygun","650","Hayir","Merkez"
"99.","90","3","0","1","7","Dogalgaz","1","Var","Yok","Sahibinden","Guney","Yok","Var","Sehir","Uygun","650","Hayir","Bozuyuk"
"100.","140","4","11","5","6","Dogalgaz","1","Var","Yok","Emlak","Dogu","Yok","Var","Sehir","Uygun","750","Hayir","Merkez"
"101.","150","4","0","5","5","Dogalgaz","1","Var","Yok","Emlak","Bati","Var","Var","Sehir","Uygun","1650","Hayir","Merkez"
"102.","90","3","8","3","4","Dogalgaz","1","Var","Yok","Emlak","Guney","Yok","Var","Sehir","Uygun","400","Hayir","Merkez"
"103.","110","3","1","0","5","Dogalgaz","1","Var","Var","Emlak","Kuzey","Yok","Var","Sehir","Uygun","750","Hayir","Merkez"
"104.","105","3","8","7","7","Dogalgaz","1","Var","Var","Emlak","Dogu","Yok","Var","Doga","Uygun","650","Hayir","Merkez"
"105.","35","1","3","2","5","Dogalgaz","1","Var","Var","Emlak","Kuzey","Yok","Var","Sehir","Uygun","750","Hayir","Merkez"
"106.","70","3","11","5","6","Dogalgaz","1","Var","Yok","Emlak","Bati","Yok","Var","Doga","Uygun","475","Hayir","Merkez"
"107.","125","4","0","5","5","Dogalgaz","1","Var","Yok","Sahibinden","Guney","Var","Var","Sehir","Uygun","950","Hayir","Bozuyuk"
"108.","120","4","16","3","7","Dogalgaz","1","Var","Var","Sahibinden","Dogu","Yok","Var","Sehir","Uygun","1200","Hayir","Bozuyuk"
"109.","113","3","34","2","2","Dogalgaz","1","Var","Yok","Sahibinden","Guney","Yok","Var","Sehir","Uygun","550","Hayir","Merkez"
"110.","120","4","11","3","4","Dogalgaz","1","Var","Yok","Sahibinden","Kuzey","Var","Var","Sehir","Uygun","675","Evet","Bozuyuk"
"111.","120","4","9","2","4","Dogalgaz","2","Var","Yok","Sahibinden","Bati","Var","Var","Sehir","Uygun","700","Evet","Bozuyuk"
"112.","135","5","13","4","8","Dogalgaz","1","Var","Yok","Sahibinden","Bati","Yok","Var","Sehir","Uygun","600","Hayir","Bozuyuk"
"22-Apr","85","3","8","6","7","Dogalgaz","1","Var","Yok","Sahibinden","Guney","Var","Yok","Sehir","Uygun","650","Evet","Bozuyuk"
"114.","90","3","2","0","4","Dogalgaz","1","Var","Var","Sahibinden","Dogu","Yok","Var","Sehir","Uygun","950","Hayir","Merkez"
"115.","100","3","13","2","3","Dogalgaz","1","Yok","Yok","Sahibinden","Bati","Yok","Var","Sehir","Uygun","600","Hayir","Bozuyuk"
"116.","110","3","3","2","5","Dogalgaz","1","Var","Yok","Sahibinden","Guney","Var","Var","Sehir","Uygun","675","Hayir","Bozuyuk"
"117.","120","4","0","1","9","Dogalgaz","2","Var","Yok","Sahibinden","Guney","Var","Var","Sehir","Uygun","1100","Evet","Bozuyuk"
"118.","100","4","21","4","5","Dogalgaz","1","Var","Yok","Sahibinden","Dogu","Var","Var","Sehir","Uygun","650","Hayir","Merkez"
"119.","120","4","11","0","4","Kömür","1","Var","Yok","Sahibinden","Dogu","Yok","Var","Sehir","Uygun","300","Hayir","Merkez"
"120.","125","4","3","3","7","Dogalgaz","2","Var","Yok","Sahibinden","Guney","Yok","Var","Sehir","Uygun","825","Hayir","Bozuyuk"
"121.","75","3","3","2","3","Dogalgaz","1","Var","Var","Sahibinden","Guney","Var","Var","Sehir","Uygun","175","Hayir","Osmaneli"
"122.","132","4","15","2","3","Dogalgaz","1","Var","Var","Sahibinden","Bati","Yok","Var","Sehir","Uygun","700","Hayir","Bozuyuk"
"123.","115","4","11","2","5","Dogalgaz","1","Var","Yok","Sahibinden","Bati","Var","Var","Sehir","Uygun","600","Evet","Merkez"
"124.","100","3","2","5","5","Dogalgaz","1","Var","Yok","Sahibinden","Guney","Var","Var","Sehir","Uygun","750","Hayir","Bozuyuk"
"125.","100","3","0","4","4","Dogalgaz","1","Var","Yok","Sahibinden","Dogu","Yok","Var","Sehir","Uygun","500","Hayir","Söğüt"
"126.","77","3","12","3","5","Dogalgaz","1","Var","Yok","Sahibinden","Dogu","Yok","Var","Sehir","Uygun","500","Evet","Merkez"
"127.","55","2","4","5","6","Dogalgaz","1","Yok","Var","Sahibinden","Guney","Var","Var","Doga","Uygun","700","Hayir","Merkez"
"128.","80","1","8","0","3","Dogalgaz","1","Yok","Var","Sahibinden","Dogu","Yok","Var","Sehir","Uygun","750","Hayir","Merkez"
"129.","110","3","13","3","4","Kömür","1","Var","Var","Sahibinden","Guney","Yok","Var","Sehir","Uygun","700","Hayir","Merkez"
"130.","100","3","3","0","5","Dogalgaz","1","Var","Yok","Sahibinden","Kuzey","Var","Var","Sehir","Uygun","750","Hayir","Bozuyuk"
"131.","50","2","3","1","6","Klima","1","Yok","Yok","Sahibinden","Guney","Var","Var","Doga","Uygun","500","Hayir","Merkez"
"132.","100","3","18","2","3","Dogalgaz","1","Var","Yok","Emlak","Guney","Yok","Var","Sehir","Uygun","525","Hayir","Merkez"
"133.","150","4","2","5","7","Dogalgaz","2","Var","Yok","Emlak","Guney","Var","Var","Sehir","Uygun","900","Evet","Merkez"
